index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130108,1.0,-1.0,1.0,,-1.0,1.0,,,,1.0,-1.0,,,1.0,,,,,,-1.0,-1.0,,,,-1.0,,,1.0,,,,-1.0,,,,1.0,,,,,1.0,-1.0,1.0,,,,,,-1.0,,-1.0,,,-1.0,1.0,,,,,,,-1.0,,,-1.0,,,,,-1.0,1.0,-1.0,,,1.0,,1.0
20130109,0.9777969,-0.9819534,0.83474463,,0.062115494,-0.30119556,,,,-0.5857127,-0.8467735,,,0.8400776,,,,,,-0.70730776,-0.99687564,,,,-0.8962526,,,0.53512734,,,,-0.97359425,,,,-0.987043,-1.0,,,,0.7688321,0.19266397,0.8933855,,,,,,-0.91539574,,-0.71880144,,,-0.9913749,0.9250744,,,,,,,-0.9004373,,,-0.7414317,,,,,-0.404789,-0.94100744,-0.9074763,,,0.9531386,,0.7688958
20130110,0.712234,-0.76544,0.66916335,,-0.0045384015,-0.7345685,,,,-0.57670385,-0.69136184,,,0.86733586,,,,,,-0.9471456,-0.8153329,,,,0.8597886,,,0.5211878,,,,-0.60848963,,,,-0.8736434,0.27862734,,,,0.64233124,0.18984987,0.7693971,,,,,,-0.018226415,,-0.5855369,,,-0.89290446,0.68418294,,,,,,,-0.8778619,,,-0.73685586,,,,,-0.40251556,-0.76305354,-0.8870279,,,0.770383,,0.6945175
20130111,0.692926,-0.7625425,0.643988,,0.13988116,0.9026292,,,,-0.5099112,-0.69134617,,,-0.042397078,,,,,,-0.69902104,-0.63193727,,,,-0.7941371,,,-0.4053652,,,,-0.53783154,,,,-0.74189377,-0.39705548,,,,0.5962277,0.16311432,0.7689964,,,,,,-0.9086367,1.0,-0.49802014,,,-0.72629166,-0.34129322,,,,,,,-0.6598273,,,-0.5967036,,,,,-0.8116696,-0.7629141,-0.7560644,,,0.2929528,,0.6452643
20130114,0.86962855,-0.6947311,0.64261883,,0.02540581,0.7939364,,,,-0.4972324,-0.6901726,,,-0.040560707,,,,,,0.42111897,-0.57787585,,,,0.72820926,,,0.5960424,,,,-0.074418746,,,,0.796871,-0.14997256,,,,0.52201086,0.814501,0.3880471,,,,,,-0.048131336,0.9563774,-0.49699262,,,-0.6872155,-0.1783366,,,,,,,-0.6510854,,,-0.24514863,,,,,-0.47276175,-0.71035904,-0.6774711,,,0.8008058,,0.6223215
20130115,0.66182464,-0.66317517,-0.5328153,,0.02540115,0.6847718,,,,-0.48472497,-0.6247268,,,-0.5597547,,,,,,0.37068048,-0.5766323,,,,0.72818536,,,0.56304663,,,,-0.06968011,,,,0.7796469,-0.1515927,,,,0.5209989,0.65349495,-0.10993885,,,,1.0,,-0.05490819,0.6109494,-0.48931062,,,-0.56817853,-0.20923041,,,,,,,-0.59836036,,,-0.31918785,,,,,-0.4278591,-0.5894059,0.026436798,,,0.6369499,,-0.31557205
20130116,0.64818364,-0.6605941,-0.30128562,,0.09215943,0.5443927,,,,-0.46059003,-0.14862461,,,-0.44626915,,,,,,0.36354584,-0.51505977,,,,0.5754735,,,0.52745557,,,,-0.06771451,,,,0.74853927,-0.15087028,,,,0.51948124,0.5495174,-0.009724552,,,,0.81918126,,-0.0738857,0.9173861,-0.48681685,,,-0.5681517,-0.18600899,,,,,,,-0.59331053,,,-0.30001166,,,,,-0.42303857,-0.569556,0.026436217,,,0.54466933,,-0.1379872
20130117,0.27156115,-0.56299114,-0.2834272,,0.026917322,0.5094214,,,,-0.44691616,-0.15748028,,,-0.43573293,,,,,,0.3619269,-0.45816857,,,,0.56496286,,,0.4713907,,,,-0.05666546,,,,0.53689075,0.3390886,,,,0.51616824,0.51704484,-0.018211838,,,,0.6681968,,-0.06934778,0.73094827,-0.43927154,,,-0.50497484,-0.13761269,,,,,,,-0.5559115,,,-0.28291613,,,,,-0.4134482,-0.5270575,0.024929976,,,0.54460245,,-0.13223723
20130118,0.26304004,-0.4822801,-0.14127493,,0.035987154,0.50514895,,,,-0.37490258,-0.15714309,,,-0.06448954,,,,,,0.31030476,-0.28320208,,,,0.523067,,,0.4270203,,,,0.14354497,,,,0.5070585,0.7288773,,,,0.50538033,0.46775877,0.15410632,,,,0.573176,,0.014385903,0.83253443,-0.4163251,,,-0.49869767,0.11078001,,,,,,,-0.5348529,,,0.012323907,,,,,0.12880103,-0.48091453,0.024924932,,,0.48531458,,0.035756443
20130121,0.26208982,-0.43973768,-0.13988595,,0.027629877,0.4323848,,,,-0.35129786,-0.44567424,,,-0.06579608,,,,,,0.30976012,-0.24010433,,,,0.51732117,,,0.42614812,,,,0.12420559,,,,0.5069646,0.6844828,,,,0.48526767,0.45250148,0.14864813,,,,0.5010545,,-0.002387275,0.7168927,-0.39593711,,,-0.4889089,0.09757774,,,,,,,-0.4737331,,,0.0054451483,,,,,0.12654573,-0.4335217,0.02492051,,,0.45519224,,0.03470642
