index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130111,1.0,1.0,-1.0,,1.0,-1.0,,,,-1.0,1.0,,,1.0,,,,,,1.0,1.0,,,,-1.0,,,-1.0,,,,-1.0,,,,1.0,,,,,-1.0,-1.0,-1.0,,,,,,-1.0,1.0,1.0,,,1.0,-1.0,,,,,,,1.0,,,-1.0,,,,,-1.0,-1.0,-1.0,,,-1.0,,-1.0
20130114,1.0,1.0,-1.0,,1.0,-1.0,,,,-1.0,1.0,,,1.0,,,,,,1.0,0.0,,,,0.0,,,0.0,,,,-1.0,,,,1.0,-1.0,,,,0.0,-1.0,-1.0,,,,-1.0,,-0.5,1.0,1.0,,,1.0,-1.0,,,,,,,0.0,,,-1.0,,,,,-1.0,-1.0,-1.0,,,-1.0,,-1.0
20130115,1.0,1.0,-1.0,,1.0,-0.33333334,,,,-1.0,1.0,,,0.33333334,,,,,,1.0,-0.33333334,,,,0.33333334,,,-0.33333334,,,,-1.0,,,,1.0,-1.0,,,,0.33333334,-1.0,-1.0,,,,-1.0,,-0.6666667,1.0,1.0,,,1.0,-1.0,,,,,,,-0.33333334,,,-1.0,,,,,-1.0,-1.0,-1.0,,,-1.0,,-1.0
20130116,1.0,1.0,-1.0,,1.0,-0.25,,,,-1.0,1.0,,,0.0,,,,,,1.0,0.0,,,,0.5,,,-0.5,,,,-1.0,,,,1.0,-1.0,,,,0.5,-1.0,-1.0,,,,-1.0,,-0.75,1.0,1.0,,,1.0,-1.0,,,,,,,-0.5,,,-1.0,,,,,-1.0,-1.0,-1.0,,,-0.5,,-1.0
20130117,1.0,1.0,-1.0,,1.0,0.0,,,,-1.0,1.0,,,-0.2,,,,,,1.0,-0.2,,,,0.6,,,-0.2,,,,-1.0,,,,1.0,-1.0,,,,0.2,-1.0,-1.0,,,,-1.0,,-0.8,0.33333334,1.0,,,0.6,-1.0,,,,,,,-0.6,,,-1.0,,,,,-1.0,-1.0,-1.0,,,-0.2,,-1.0
20130118,1.0,1.0,-1.0,,1.0,-0.16666667,,,,-1.0,1.0,,,-0.33333334,,,,,,1.0,0.0,,,,0.6666667,,,0.0,,,,-0.6666667,,,,1.0,-0.6,,,,0.33333334,-0.6666667,-1.0,,,,-1.0,,-0.5,0.5,1.0,,,0.6666667,-0.6666667,,,,,,,-0.6666667,,,-0.6666667,,,,,-0.6666667,-1.0,-0.6666667,,,0.0,,-1.0
20130121,1.0,1.0,-1.0,,1.0,-0.2857143,,,,-1.0,1.0,,,-0.42857143,,,,,,0.71428573,0.14285715,,,,0.71428573,,,0.14285715,,,,-0.42857143,,,,1.0,-0.33333334,,,,0.42857143,-0.42857143,-1.0,,,,-1.0,,-0.5714286,0.6,1.0,,,0.42857143,-0.71428573,,,,,,,-0.71428573,,,-0.71428573,,,,,-0.5714286,-1.0,-0.42857143,,,0.14285715,,-1.0
20130122,1.0,1.0,-0.75,,1.0,-0.375,,,,-1.0,1.0,,,-0.25,,,,,,0.5,0.25,,,,0.5,,,0.25,,,,-0.25,,,,1.0,-0.14285715,,,,0.5,-0.25,-0.75,,,,-1.0,,-0.375,0.6666667,1.0,,,0.25,-0.5,,,,,,,-0.75,,,-0.5,,,,,-0.375,-1.0,-0.25,,,0.25,,-0.75
20130123,1.0,1.0,-0.6666667,,1.0,-0.44444445,,,,-1.0,1.0,,,-0.11111111,,,,,,0.33333334,0.11111111,,,,0.5555556,,,0.33333334,,,,-0.11111111,,,,1.0,0.0,,,,0.5555556,-0.11111111,-0.5555556,,,,-1.0,,-0.22222222,0.71428573,0.7777778,,,0.33333334,-0.33333334,,,,,,,-0.7777778,,,-0.33333334,,,,,-0.22222222,-1.0,-0.11111111,,,0.33333334,,-0.5555556
20130124,1.0,1.0,-0.7,,0.8,-0.5,,,,-1.0,1.0,,,0.0,,,,,,0.2,0.2,,,,0.6,,,0.4,,,,0.0,,,,0.8,0.11111111,,,,0.4,0.0,-0.4,,,,-1.0,,-0.1,0.75,0.6,,,0.2,-0.2,,,,,,,-0.8,,,-0.2,,,,,-0.1,-1.0,0.0,,,0.2,,-0.4
