index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20130117,-132.0,-345.0,-225.0,,-418.0,-195.0,,,,-336.0,-399.0,,,-220.0,,,,,,-648.0,,,,,-180.0,,,-180.0,,,,-112.0,,,,-50.0,,,,,-204.0,-39.0,-5.0,,,,,,-112.0,,-104.0,,,-160.0,-52.0,,,,,,,-77.0,,,-63.0,,,,,-170.0,-216.0,,,,-126.0,,-5.0
20130118,-237.0,-424.5,-190.5,,-309.0,-142.5,,,,-217.5,-367.5,,,-237.5,,,,,,-364.5,,,,,-194.5,,,-420.0,,,,-224.0,,,,-103.0,-644.0,,,,-229.5,-45.5,-5.5,,,,,,-191.0,,-77.0,,,-100.0,-125.0,,,,,,,-42.5,,,-77.5,,,,,-155.0,-186.0,,,,-263.0,,-8.5
20130121,-237.33333333333334,-349.6666666666667,-187.0,,-351.6666666666667,-113.0,,,,-175.33333333333334,-322.0,,,-228.0,,,,,,-389.6666666666667,,,,,-185.66666666666666,,,-314.6666666666667,,,,-199.33333333333334,,,,-182.0,-349.0,,,,-278.6666666666667,-54.333333333333336,-5.666666666666667,,,,,,-150.66666666666666,,-174.0,,,-122.66666666666667,-149.33333333333334,,,,,,,-30.333333333333332,,,-99.66666666666667,,,,,-163.33333333333334,-140.0,,,,-331.3333333333333,,-10.666666666666666
20130122,-272.5,-381.0,-166.25,,-365.75,-113.0,,,,-143.5,-296.75,,,-234.25,,,,,,-321.0,,,,,-155.75,,,-405.0,,,,-224.5,,,,-283.5,-313.6666666666667,,,,-249.0,-97.0,-5.25,,,,,,-180.5,-696.0,-235.0,,,-107.0,-143.5,,,,,,,-26.25,,,-99.25,,,,,-170.5,-120.0,,,,-253.5,,-11.0
20130123,-267.4,-343.2,-148.4,,-343.6,-113.0,,,,-130.0,-294.6,,,-241.8,,,,,,-276.6,,,,,-194.6,,,-469.8,,,,-233.6,,,,-331.8,-404.25,,,,-223.2,-141.6,-5.0,,,,,,-202.4,-693.0,-205.6,,,-91.6,-173.6,,,,,,,-21.6,,,-108.2,,,,,-173.2,-100.2,,,,-206.4,,-17.8
20130124,-268.6666666666667,-320.6666666666667,-156.66666666666666,,-307.3333333333333,-113.0,,,,-129.33333333333334,-356.6666666666667,,,-261.5,,,,,,-235.5,,,,,-168.83333333333334,,,-513.0,,,,-268.3333333333333,,,,-301.0,-406.6,,,,-206.0,-152.83333333333334,-6.166666666666667,,,,,,-239.5,-710.0,-180.0,,,-103.33333333333333,-196.0,,,,,,,-19.333333333333332,,,-115.16666666666667,,,,,-168.33333333333334,-89.83333333333333,,,,-173.66666666666666,,-28.833333333333332
20130125,-263.2857142857143,-298.0,-165.85714285714286,,-281.2857142857143,-113.0,,,,-140.71428571428572,-355.85714285714283,,,-244.14285714285714,,,,,,-213.0,,,,,-156.71428571428572,,,-504.0,,,,-268.85714285714283,,,,-288.0,-442.8333333333333,,,,-208.0,-151.57142857142858,-9.142857142857142,,,,-522.0,,-301.2857142857143,-742.5,-156.0,,,-101.71428571428571,-176.57142857142858,,,,,,,-17.714285714285715,,,-164.42857142857142,,,,,-210.28571428571428,-94.14285714285714,,,,-150.85714285714286,,-46.42857142857143
20130128,-274.375,-266.0,-160.125,,-254.625,-113.0,,,,-161.625,-377.5,,,-225.625,,,,,,-202.625,,,,,-164.125,,,-481.5,,,,-291.5,,,,-299.5,-397.42857142857144,,,,-209.0,-166.75,-10.75,,,,-354.5,,-295.125,-744.8,-143.25,,,-104.0,-170.75,,,,,,,-16.0,,,-227.875,,,,,-231.5,-89.875,,,,-132.875,,-48.5
