index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,4752.0,6307.0,15420.0,,337.20001220703125,4725.0,,,,2450.0,19060.0,,,58610.0,,,,2715.0,,1425.0,5041.0,,,,2567.39990234375,,,1844.0,,,,10950.0,,,,3257.0,,,,,10018.0,7038.0,15315.0,,,,,,4023.0,2775.0,2380.0,9858.0,,5357.0,26700.0,,,,,,,5583.0,,,8620.0,,,,,6740.0,2694.0,3988.0,2584.0,,8790.0,,15620.0
20130107,4765.0,6433.0,15310.035685300827,,339.5199890136719,4679.0,,,,2449.0,19250.0,,,58450.0,,,,,,1468.0,5150.0,,,,2554.39990234375,,,1854.0,,,,11180.0,,,,3285.0,2847.0,,,,10160.0,7016.0,15235.0,,,,2478.0,,4047.0,2758.8758438825607,2457.0,,,5530.0,26490.0,,,,,,,5682.0,,,8736.0,,,,,6755.0,2694.0,4049.0,,,8756.0,,15520.121737718582
20130108,4753.0,6420.0,15295.358136233403,,337.29998779296875,4674.0,,,,2459.0,19295.0,,,58480.0,,,,,,1470.0,5133.0,,,,2548.800048828125,,,1845.0,,,,10985.0,,,,3303.0,2882.0,,,,9916.0,6988.0,15225.0,,,,,,4020.0,,2500.0,,,5465.0,26365.0,,,,,,,5715.0,,,8728.0,,,,,6720.0,2710.0,,,,8726.0,,15435.638206005096
20130109,4754.0,6438.0,15265.357433775933,,339.54998779296875,4655.0,,,,2465.0,19370.0,,,58360.0,,,,,,1476.0,,,,,2543.800048828125,,,1837.0,,,,10795.0,,,,3325.0,2837.0,,,,9894.0,6860.0,15130.0,,,,2514.0,,4015.0,,2514.0,,,5497.0,26320.0,,,,,,,5693.0,,,8676.0,,,,,6730.0,2709.0,,,,8662.0,,15376.0027718544
20130110,4751.0,6427.0,15275.357667928423,,339.0899963378906,4653.0,,,,2448.0,19295.0,,,58820.0,,,,,,1484.0,5099.0,,,,2562.199951171875,,,1822.0,,,,10775.0,,,,3295.0,2853.0,,,,10044.0,6874.0,15200.0,,,,2486.0,,4030.0,2819.621734023094,2490.0,,,5478.0,26280.0,,,,,,,5680.0,,,8596.0,,,,,6745.0,2689.0,4025.0,,,8666.0,,15435.638206005096
20130111,4793.0,6515.0,15305.358370385893,,341.9200134277344,4668.0,,,,2447.0,19330.0,,,58980.0,,,,,,1465.0,5125.0,,,,2547.800048828125,,,1817.0,,,,10790.0,,,,3281.0,2840.0,,,,10026.0,6748.0,15225.0,,,,,,4029.0,2799.3731039762497,2525.0,,,5520.0,26565.0,,,,,,,5668.0,,,8634.0,,,,,6725.0,2680.0,3934.0,,,8594.0,,15510.182498693466
20130114,4812.0,6492.0,15270.357550852179,,340.42999267578125,4670.0,,,,2445.0,19435.0,,,58730.0,,,,,,1502.0,5148.0,,,,2598.199951171875,,,1855.0,,,,10725.0,,,,3365.0,2828.0,,,,10086.0,6730.0,15125.0,,,,2494.0,,4026.0,2797.3482409715652,2548.0,,,5485.0,26045.0,,,,,,,5604.0,,,8562.0,,,,,6690.0,2680.0,3888.0,,,8572.0,,15400.85086941719
20130115,4839.0,6592.0,15235.356731318463,,341.79998779296875,4670.0,,,,2439.0,19515.0,,,58300.0,,,,,,1527.0,,,,,2608.60009765625,,,1832.0,,,,10770.0,,,,3396.0,2817.0,,,,10070.0,6788.0,15060.523632764816,,,,2463.0,,4012.0,2789.2487889528275,2618.0,,,5551.0,26010.0,,,,,,,5574.0,,,8530.0,,,,,6685.0,2675.0,3995.0,,,8658.0,,15311.397718191147
20130116,4816.0,6632.0,15205.356028860993,,343.6000061035156,4656.0,,,,2436.0,19555.0,,,58150.0,,,,,,1515.0,5119.0,,,,2602.800048828125,,,1810.0,,,,10735.0,,,,3410.0,2798.0,,,,10034.0,6800.0,15045.680803954601,,,,2470.0,,3969.0,2789.2487889528275,2595.0,,,5465.0,25630.0,,,,,,,5573.0,,,8438.0,,,,,6640.0,2678.0,3974.0,,,8678.0,,15207.03570842743
20130117,4838.0,6612.0,15155.354858098544,,342.8599853515625,4658.0,,,,2437.0,19590.0,,,57940.0,,,,,,1512.0,5118.0,,,,2579.9496980905533,,,1820.0,,,,10685.0,,,,3433.0,2834.0,,,,10026.0,6818.0,14971.466659903526,,,,2474.0,,3948.0,2789.2487889528275,2612.0,,,5465.0,25660.0,,,,,,,5548.0,,,8430.0,,,,,6640.0,2668.0,,,,8690.0,,15182.18761086464
