index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,4720.0,6306.0,15395.0,,337.19000244140625,4691.0,,,,2433.0,18940.0,,,58610.0,,,,2700.0,,1371.0,5041.0,,,,2565.0,,,1835.0,,,,10900.0,,,,3240.0,,,,,9930.0,6940.0,15315.0,,,,,,4018.0,2774.0,2322.0,9788.0,,5273.0,26530.0,,,,,,,5542.0,,,8602.0,,,,,6630.0,2680.0,3966.0,2567.0,,8698.0,,15545.0
20130107,4721.0,6330.0,15250.463562011719,,338.0199890136719,4670.0,,,,2443.0,19010.0,,,58330.0,,,,,,1440.0,5149.0,,,,2537.800048828125,,,1837.0,,,,10895.0,,,,3215.0,2822.0,,,,9968.0,6966.0,15235.0,,,,2471.0,,4029.0,2748.7515288591385,2365.0,,,5333.0,26400.0,,,,,,,5616.0,,,8596.0,,,,,6695.0,2688.0,3949.0,,,8702.0,,15445.577445030212
20130108,4753.0,6418.0,15290.358019157158,,337.0,4668.0,,,,2448.0,19250.0,,,58290.0,,,,,,1438.0,5112.0,,,,2537.0,,,1815.0,,,,10965.0,,,,3279.0,2820.0,,,,9814.0,6978.0,15225.0,,,,,,4014.0,,2470.0,,,5460.0,26150.0,,,,,,,5679.0,,,8696.0,,,,,6715.0,2696.0,,,,8710.0,,15405.820488929749
20130109,4739.0,6416.0,15255.357199623444,,338.5299987792969,4651.0,,,,2458.0,19240.0,,,58350.0,,,,,,1459.0,,,,,2531.60009765625,,,1834.0,,,,10770.0,,,,3296.0,2834.0,,,,9876.0,6860.0,15100.0,,,,2514.0,,4009.0,,2488.0,,,5422.0,26260.0,,,,,,,5689.0,,,8670.0,,,,,6685.0,2704.0,,,,8662.0,,15311.397718191147
20130110,4740.0,6398.0,15255.357199623444,,337.510009765625,4627.0,,,,2446.0,19260.0,,,58300.0,,,,,,1479.0,5099.0,,,,2529.39990234375,,,1816.0,,,,10760.0,,,,3275.0,2815.0,,,,9900.0,6838.0,15120.0,,,,2486.0,,3994.0,2815.5720080137253,2473.0,,,5460.0,26210.0,,,,,,,5680.0,,,8576.0,,,,,6710.0,2689.0,4001.0,,,8612.0,,15316.367337703705
20130111,4749.0,6490.0,15295.358136233403,,341.7200012207031,4649.0,,,,2444.0,19290.0,,,58850.0,,,,,,1462.0,5125.0,,,,2542.0,,,1815.0,,,,10790.0,,,,3268.0,2835.0,,,,9966.0,6732.0,15225.0,,,,,,4022.0,2796.335809469223,2465.0,,,5460.0,26400.0,,,,,,,5666.0,,,8600.0,,,,,6715.0,2680.0,3930.0,,,8588.0,,15485.334401130676
20130114,4784.0,6419.0,15270.357550852179,,339.0199890136719,4660.0,,,,2441.0,19355.0,,,58280.0,,,,,,1438.0,5148.0,,,,2497.199951171875,,,1765.0,,,,10620.0,,,,3302.0,2798.0,,,,10026.0,6700.0,15100.0,,,,2486.0,,3930.0,2789.2487889528275,2527.0,,,5447.0,25780.0,,,,,,,5594.0,,,8450.0,,,,,6655.0,2678.0,3888.0,,,8530.0,,15316.367337703705
20130115,4830.0,6555.0,15190.355677632258,,340.6600036621094,4670.0,,,,2436.0,19380.0,,,58220.0,,,,,,1520.0,,,,,2587.800048828125,,,1825.0,,,,10650.0,,,,3386.0,2803.0,,,,10012.0,6752.0,15060.523632764816,,,,2460.0,,4005.0,2789.2487889528275,2549.0,,,5483.0,25820.0,,,,,,,5571.0,,,8516.0,,,,,6670.0,2675.0,3977.0,,,8604.0,,15271.640762090683
20130116,4807.0,6630.0,15150.354741022298,,343.5,4656.0,,,,2432.0,19440.0,,,57890.0,,,,,,1499.0,5082.0,,,,2597.39990234375,,,1805.0,,,,10630.0,,,,3376.0,2798.0,,,,10034.0,6750.0,15045.680803954601,,,,2470.0,,3965.0,2789.2487889528275,2565.0,,,5431.0,25480.0,,,,,,,5529.0,,,8378.0,,,,,6630.0,2670.0,3950.0,,,8650.0,,15132.49141573906
20130117,4838.0,6612.0,15140.35450686981,,342.5299987792969,4651.0,,,,2435.0,19570.0,,,57890.0,,,,,,1503.0,5118.0,,,,2570.7960493252904,,,1792.0,,,,10670.0,,,,3425.0,2792.0,,,,10018.0,6800.0,14971.466659903526,,,,2474.0,,3930.0,2777.0996109247208,2602.0,,,5462.0,25560.0,,,,,,,5546.0,,,8410.0,,,,,6630.0,2665.0,,,,8690.0,,15152.369893789291
