index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,4682.0,6193.0,15270.0,,335.3800048828125,4660.0,,,,2432.0,18910.0,,,58210.0,,,,2700.0,,1367.0,5041.0,,,,2503.199951171875,,,1805.0,,,,10830.0,,,,3220.0,,,,,9780.0,6898.0,15225.0,,,,,,3966.0,2768.0,2316.0,9736.0,,5256.0,26300.0,,,,,,,5538.0,,,8520.0,,,,,6630.0,2680.0,3966.0,2564.0,,8642.0,,15490.0
20130107,4718.0,6321.0,15250.463562011719,,338.0,4667.0,,,,2442.0,19000.0,,,58030.0,,,,,,1433.0,5089.0,,,,2523.199951171875,,,1809.0,,,,10880.0,,,,3206.0,2819.0,,,,9870.0,6940.0,15165.0,,,,2471.0,,3994.0,2748.7515288591385,2360.0,,,5333.0,25975.0,,,,,,,5602.0,,,8572.0,,,,,6695.0,2682.0,3949.0,,,8676.0,,15356.124293804169
20130108,4706.0,6358.0,15240.35684839471,,336.20001220703125,4642.0,,,,2443.0,19190.0,,,58100.0,,,,,,1427.0,5076.0,,,,2506.60009765625,,,1795.0,,,,10750.0,,,,3260.0,2820.0,,,,9814.0,6828.0,15120.0,,,,,,3968.0,,2438.0,,,5380.0,25820.0,,,,,,,5662.0,,,8638.0,,,,,6680.0,2696.0,,,,8634.0,,15301.45847916603
20130109,4734.0,6402.0,15240.35684839471,,338.239990234375,4649.0,,,,2441.0,19200.0,,,58160.0,,,,,,1452.0,,,,,2509.0,,,1802.0,,,,10660.0,,,,3270.0,2810.0,,,,9852.0,6800.0,15100.0,,,,2502.0,,3976.0,,2472.0,,,5422.0,25970.0,,,,,,,5638.0,,,8550.0,,,,,6655.0,2685.0,,,,8590.0,,15306.428098678589
20130110,4735.0,6378.0,15245.356965470954,,337.2799987792969,4627.0,,,,2439.0,19210.0,,,58190.0,,,,,,1456.0,5099.0,,,,2512.60009765625,,,1799.0,,,,10690.0,,,,3258.0,2813.0,,,,9900.0,6722.0,15120.0,,,,2486.0,,3982.0,2791.273651957512,2459.0,,,5425.0,26055.0,,,,,,,5651.0,,,8540.0,,,,,6675.0,2665.0,4000.0,,,8556.0,,15306.428098678589
20130111,4743.0,6458.0,15250.357082547198,,340.80999755859375,4648.0,,,,2438.0,19260.0,,,58400.0,,,,,,1428.0,5048.0,,,,2481.800048828125,,,1759.0,,,,10570.0,,,,3247.0,2787.0,,,,9924.0,6634.0,15140.0,,,,,,3918.0,2790.2612204551697,2463.0,,,5426.0,25710.0,,,,,,,5578.0,,,8440.0,,,,,6640.0,2667.0,3930.0,,,8482.0,,15356.124293804169
20130114,4776.0,6409.0,15230.356614242219,,339.0199890136719,4657.0,,,,2429.0,19330.0,,,58270.0,,,,,,1438.0,5041.0,,,,2489.800048828125,,,1756.0,,,,10555.0,,,,3302.0,2788.0,,,,9972.0,6662.0,15025.0,,,,2470.0,,3893.0,2780.1369054317474,2505.0,,,5404.0,25560.0,,,,,,,5559.0,,,8424.0,,,,,6615.0,2657.0,3888.0,,,8514.0,,15236.853425502777
20130115,4785.0,6506.0,15130.354272717319,,339.8999938964844,4669.0,,,,2429.0,19340.0,,,57680.0,,,,,,1490.0,,,,,2583.0,,,1799.0,,,,10590.0,,,,3354.0,2793.0,,,,9986.0,6718.0,14951.676221489906,,,,2460.0,,3969.0,2774.062316417694,2542.0,,,5427.0,25460.0,,,,,,,5504.0,,,8358.0,,,,,6630.0,2661.0,3975.0,,,8584.0,,15072.855981588364
20130116,4794.0,6585.0,15130.354272717319,,342.6000061035156,4655.0,,,,2431.0,19420.0,,,57770.0,,,,,,1455.0,5082.0,,,,2528.0,,,1763.0,,,,10580.0,,,,3358.0,2780.0,,,,9970.0,6740.0,14981.361879110336,,,,2470.0,,3896.0,2776.0871794223785,2542.0,,,5411.0,25230.0,,,,,,,5526.0,,,8336.0,,,,,6595.0,2654.0,3950.0,,,8610.0,,15077.825601100922
20130117,4790.0,6555.0,15120.354038564828,,341.67999267578125,4636.0,,,,2420.0,19500.0,,,57570.0,,,,,,1491.0,5089.0,,,,2535.7732558819116,,,1773.0,,,,10620.0,,,,3374.0,2790.0,,,,9962.0,6700.0,14877.462077438831,,,,2474.0,,3899.0,2777.0996109247208,2565.0,,,5410.0,25395.0,,,,,,,5505.0,,,8382.0,,,,,6605.0,2658.0,,,,8612.0,,15102.673698663712
20130118,4787.0,6619.0,15155.354858098544,,343.80999755859375,4621.0,,,,2428.0,19505.0,,,58100.0,,,,,,1488.0,5134.0,,,,2552.2895640446513,,,1816.0,,,,10680.0,,,,3370.0,2852.0,,,,9950.0,6652.0,14971.466659903526,,,,2456.0,,3952.0,2783.174199938774,2561.0,,,5420.0,25760.0,,,,,,,5513.0,,,8458.0,,,,,6630.0,2660.0,,,,8594.0,,15261.701523065567
20130121,4813.0,6648.0,15150.354741022298,,343.70001220703125,4621.0,,,,2425.0,19470.0,,,58150.0,,,,,,1484.0,5103.0,,,,2573.9798954725266,,,1855.0,,,,10700.0,,,,3373.0,2921.0,,,,9972.0,6726.0,14981.361879110336,,,,2453.0,,3962.0,2799.3731039762497,2562.0,,,5416.0,25680.0,,,,,,,5450.0,,,8490.0,,,,,6660.0,2652.0,,,,8678.0,,15246.792664527893
