index,A,AG,AL,AP,AU,B,BB,BC,BU,C,CF,CJ,CS,CU,CY,EB,EG,ER,FB,FG,FU,HC,I,IC,IF,IH,IM,J,JD,JM,JR,L,LH,LR,LU,M,MA,ME,NI,NR,OI,P,PB,PF,PG,PK,PM,PP,RB,RI,RM,RO,RR,RS,RU,SA,SC,SF,SM,SN,SP,SR,SS,T,TA,TC,TF,TS,UR,V,WH,WR,WS,WT,Y,ZC,ZN
20130104,4740.0,6226.0,15315.0,,336.8399963378906,4674.0,,,,2446.0,19045.0,,,58360.0,,,,2706.0,,1425.0,5041.0,,,,2533.199951171875,,,1839.0,,,,10880.0,,,,3248.0,,,,,10000.0,7028.0,15250.0,,,,,,3990.0,2769.0,2370.0,9852.0,,5346.0,26350.0,,,,,,,5564.0,,,8568.0,,,,,6690.0,2688.0,3981.0,2572.0,,8768.0,,15540.0
20130107,4731.0,6392.0,15265.356592833996,,338.5400085449219,4667.0,,,,2445.0,19225.0,,,58220.0,,,,,,1445.0,5089.0,,,,2533.199951171875,,,1816.0,,,,10930.0,,,,3267.0,2826.0,,,,9882.0,6964.0,15170.0,,,,2478.0,,4004.0,2758.8758438825607,2455.0,,,5440.0,26075.0,,,,,,,5659.0,,,8686.0,,,,,6705.0,2694.0,4046.0,,,8688.0,,15376.0027718544
20130108,4739.0,6371.0,15240.35684839471,,336.5299987792969,4664.0,,,,2456.0,19225.0,,,58300.0,,,,,,1457.0,5133.0,,,,2531.199951171875,,,1833.0,,,,10755.0,,,,3291.0,2830.0,,,,9852.0,6844.0,15120.0,,,,,,4010.0,,2480.0,,,5413.0,26180.0,,,,,,,5704.0,,,8670.0,,,,,6685.0,2707.0,4020.0,,,8660.0,,15311.397718191147
20130109,4737.0,6429.0,15245.356965470954,,339.32000732421875,4655.0,,,,2444.0,19260.0,,,58340.0,,,,,,1476.0,5107.0,,,,2525.39990234375,,,1813.0,,,,10715.0,,,,3272.0,2811.0,,,,9888.0,6804.0,15125.0,,,,2506.0,,3998.0,,2478.0,,,5440.0,26035.0,,,,,,,5647.0,,,8574.0,,,,,6700.0,2689.0,4020.0,,,8600.0,,15321.336957216263
20130110,4750.0,6425.0,15270.357550852179,,338.67999267578125,4640.0,,,,2445.0,19265.0,,,58780.0,,,,,,1463.0,5099.0,,,,2537.800048828125,,,1809.0,,,,10735.0,,,,3268.0,2826.0,,,,9978.0,6726.0,15200.0,,,,2486.0,,4020.0,2804.435261487961,2462.0,,,5447.0,26205.0,,,,,,,5659.0,,,8566.0,,,,,6705.0,2677.0,4025.0,,,8562.0,,15430.668586492538
20130111,4755.0,6469.0,15250.357082547198,,341.3900146484375,4668.0,,,,2438.0,19320.0,,,58440.0,,,,,,1439.0,5060.0,,,,2498.60009765625,,,1763.0,,,,10570.0,,,,3258.0,2795.0,,,,9940.0,6640.0,15190.0,,,,,,3925.0,2795.323377966881,2509.0,,,5432.0,25710.0,,,,,,,5587.0,,,8442.0,,,,,6645.0,2674.0,3934.0,,,8488.0,,15361.093913316727
20130114,4806.0,6479.0,15235.356731318463,,340.3500061035156,4657.0,,,,2434.0,19380.0,,,58520.0,,,,,,1502.0,5082.0,,,,2586.60009765625,,,1826.0,,,,10650.0,,,,3361.0,2808.0,,,,9998.0,6698.0,15110.0,,,,2470.0,,4004.0,2790.2612204551697,2541.0,,,5465.0,25840.0,,,,,,,5578.0,,,8526.0,,,,,6670.0,2665.0,3888.0,,,8530.0,,15361.093913316727
20130115,4798.0,6545.0,15130.354272717319,,340.8999938964844,4669.0,,,,2434.0,19395.0,,,57700.0,,,,,,1497.0,5092.0,,,,2596.39990234375,,,1808.0,,,,10645.0,,,,3368.0,2794.0,,,,9992.0,6726.0,14971.466659903526,,,,2463.0,,3977.0,2780.1369054317474,2562.0,,,5432.0,25480.0,,,,,,,5541.0,,,8376.0,,,,,6635.0,2669.0,3975.0,,,8594.0,,15082.79522061348
20130116,4813.0,6599.0,15155.354858098544,,343.5,4655.0,,,,2435.0,19540.0,,,57940.0,,,,,,1500.0,5119.0,,,,2570.0,,,1787.0,,,,10635.0,,,,3405.0,2786.0,,,,9984.0,6776.0,15011.047536730766,,,,2470.0,,3934.0,2788.2363574504852,2586.0,,,5444.0,25495.0,,,,,,,5548.0,,,8392.0,,,,,6620.0,2662.0,3974.0,,,8642.0,,15172.248371839523
20130117,4791.0,6580.0,15155.354858098544,,342.489990234375,4645.0,,,,2431.0,19550.0,,,57740.0,,,,,,1506.0,5089.0,,,,2563.831279604259,,,1818.0,,,,10650.0,,,,3381.0,2823.0,,,,9972.0,6712.0,14941.781002283096,,,,2474.0,,3946.0,2777.0996109247208,2571.0,,,5417.0,25585.0,,,,,,,5512.0,,,8412.0,,,,,6620.0,2664.0,3958.0,,,8628.0,,15172.248371839523
20130118,4816.0,6663.0,15190.355677632258,,344.2799987792969,4645.0,,,,2434.0,19600.0,,,58380.0,,,,,,1496.0,5134.0,,,,2597.2620285180747,,,1865.0,,,,10780.0,,,,3376.0,2934.0,,,,9990.0,6746.0,15030.837975144386,,,,2464.0,,4002.0,2812.5347135066986,2573.0,,,5434.0,25960.0,,,,,,,5527.0,,,8560.0,,,,,6680.0,2667.0,3958.0,,,8678.0,,15326.30657672882
